segment_id,domain,source_words
323,social,13
324,social,24
325,social,35
326,social,22
327,social,15
328,social,17
329,social,13
330,social,13
331,social,32
332,social,9
333,social,25
334,social,24
335,social,20
336,social,14
337,social,14
338,social,7
339,social,18
340,social,11
341,social,16
342,social,5
343,social,4
344,social,21
345,social,4
346,social,4
347,social,1
348,social,19
349,social,12
350,social,2
351,social,4
352,social,22
353,social,11
354,social,12
355,social,7
356,social,9
357,social,18
358,social,7
359,social,31
360,social,29
361,social,19
362,social,16
363,social,3
364,social,11
365,social,14
366,social,8
367,social,16
368,social,24
369,social,24
370,social,4
371,social,12
372,social,16
373,social,16
374,social,11
375,social,4
376,social,14
377,social,27
378,social,4
379,social,4
380,social,9
381,social,13
382,social,10
383,social,12
384,social,11
385,social,7
386,social,10
387,social,19
388,social,1
389,social,5
390,social,14
391,social,6
392,social,22
393,social,8
394,social,28
395,social,17
396,social,5
397,social,6
398,social,15
399,social,21
400,social,32
401,social,21
402,social,23
403,social,27
404,social,38
405,social,10
406,social,1
407,social,6
408,social,6
409,social,6
410,social,14
411,social,8
412,social,13
413,social,26
414,social,16
415,social,6
416,social,5
417,social,9
418,social,32
419,social,14
420,social,49
421,social,20
422,social,19
423,social,32
424,social,27
425,social,45
426,social,73
427,social,1
428,social,7
429,social,50
430,social,3
431,social,5
432,social,18
433,social,17
434,social,22
435,social,23
436,social,1
437,social,1
438,social,37
439,social,2
440,social,10
441,social,58
442,social,17
443,social,26
444,social,34
445,social,8
446,social,4
447,social,10
448,social,4
449,social,17
450,social,1
451,social,19
452,social,3
453,social,27
454,social,12
455,social,4
456,social,10
457,social,38
458,social,14
459,social,9
460,social,14
461,social,17
462,social,17
463,social,14
464,social,26
465,social,50
466,social,11
467,social,4
468,social,35
469,social,22
470,social,30
471,social,11
472,social,14
473,social,1
474,social,27
475,social,2
476,social,29
477,social,20
478,social,15
479,social,18
480,social,8
481,social,17
482,social,20
483,social,7
484,social,26
485,social,2
486,social,28
487,social,6
488,social,17
489,social,8
490,social,7
491,social,13
492,social,21
493,social,16
494,social,6
495,social,16
496,social,9
497,social,14
498,social,3
499,social,21
500,social,30
501,social,18
502,social,24
503,social,10
504,social,19
505,social,1
506,social,34
507,social,15
508,social,14
509,social,5
510,social,31
511,social,10
512,social,6
513,social,8
514,social,1
515,social,9
516,social,1
517,social,30
518,social,20
519,social,27
520,social,42
521,social,4
522,social,17
523,social,25
524,social,6
525,social,11
526,social,28
527,social,16
528,social,3
529,social,5
530,social,37
531,social,4
532,social,9
533,social,1
534,social,7
535,social,1
536,social,2
537,social,6
538,social,19
539,social,6
540,social,11
541,social,8
542,social,10
543,social,4
544,social,7
545,social,15
546,social,1
547,social,2
548,social,13
549,social,10
550,social,7
551,social,2
552,social,9
553,social,6
554,social,2
555,social,6
556,social,3
557,social,12
558,social,25
559,social,7
560,social,7
561,social,2
562,social,3
563,social,4
564,social,5
565,social,3
566,social,8
567,social,14
568,social,6
569,social,7
570,social,8
571,social,8
572,social,6
573,social,25
574,social,11
575,social,9
576,social,4
577,social,14
578,social,8
579,social,3
580,social,4
581,social,8
582,social,14
583,social,14
584,social,1
585,social,29
586,social,13
587,social,18
588,social,27
589,social,5
590,social,7
591,social,7
592,social,6
593,social,9
594,social,1
595,social,2
596,social,3
597,social,2
598,social,6
599,social,3
600,social,5
601,social,5
602,social,1
603,social,9
604,social,11
605,social,19
606,social,1
607,social,17
608,social,29
609,social,37
610,social,34
611,social,39
612,social,5
613,social,1
614,social,1
615,social,14
616,social,21
617,social,3
618,social,19
619,social,4
620,social,3
621,social,45
622,social,4
623,social,19
624,social,8
625,social,23
626,social,6
627,social,11
628,social,30
629,social,23
630,social,17
631,social,8
632,social,8
633,social,14
634,social,6
635,social,6
636,social,15
637,social,8
638,social,17
639,social,22
640,social,8
641,social,14
642,social,14
643,social,31
644,social,23
645,social,23
646,social,25
647,social,6
648,social,32
649,social,38
650,social,2
651,social,8
652,social,5
653,social,8
654,social,20
655,social,8
656,social,49
657,social,18
658,social,2
659,social,2
660,social,1
661,social,3
662,social,3
663,social,3
664,social,1
665,social,22
666,social,53
667,social,3
668,social,5
669,social,49
670,social,11
671,social,12
672,social,56
673,social,23
674,social,10
675,social,5
676,social,3
677,social,26
678,social,3
679,social,4
680,social,6
681,social,4
682,speech,63
683,speech,92
684,speech,87
685,speech,55
686,speech,81
687,speech,67
688,speech,84
689,speech,67
690,speech,106
691,speech,54
692,speech,79
693,speech,54
694,speech,133
695,speech,80
696,speech,68
697,speech,70
698,speech,71
699,speech,90
700,speech,56
701,speech,102
702,speech,101
703,speech,68
704,speech,97
705,speech,98
706,speech,97
707,speech,42
708,speech,76
709,speech,80
710,speech,106
711,speech,73
712,speech,44
713,speech,62
714,speech,115
715,speech,26
716,speech,52
717,speech,84
718,speech,84
719,speech,52
720,speech,85
721,speech,57
722,speech,64
723,speech,88
724,speech,84
725,speech,85
726,speech,57
727,speech,109
728,speech,54
729,speech,57
730,speech,66
731,speech,85
732,speech,51
733,speech,39
734,speech,44
735,speech,53
736,speech,61
737,speech,77
738,speech,40
739,speech,90
740,speech,98
741,speech,47
742,speech,87
743,speech,32
744,speech,44
745,speech,84
746,speech,59
747,speech,80
748,speech,85
749,speech,99
750,speech,75
751,speech,54
752,speech,57
753,speech,31
754,speech,53
755,speech,121
756,speech,62
757,speech,64
758,speech,111
759,speech,78
760,speech,27
761,speech,43
762,speech,57
763,speech,105
764,speech,69
765,speech,57
766,speech,79
767,speech,169
768,speech,113
769,speech,75
770,speech,103
771,speech,51
772,speech,119
773,speech,74
774,speech,51
775,speech,62
776,speech,77
777,speech,56
778,speech,68
779,speech,45
780,speech,66
781,speech,90
782,speech,59
783,speech,34
784,speech,66
785,speech,72
786,speech,78
787,speech,62
788,speech,73
789,speech,74
790,speech,49
791,speech,71
792,speech,149
793,literary,2
794,literary,124
795,literary,5
796,literary,113
797,literary,105
798,literary,133
799,literary,77
800,literary,101
801,literary,101
802,literary,113
803,literary,108
804,literary,66
805,literary,86
806,literary,176
807,literary,108
808,literary,1
809,literary,5
810,literary,146
811,literary,79
812,literary,70
813,literary,138
814,literary,70
815,literary,51
816,literary,9
817,literary,16
818,literary,6
819,literary,55
820,literary,14
821,literary,41
822,literary,12
823,literary,5
824,literary,12
825,literary,54
826,literary,33
827,literary,39
828,literary,27
829,literary,58
830,literary,78
831,literary,34
832,literary,42
833,literary,13
834,literary,6
835,literary,2
836,literary,8
837,literary,30
838,literary,45
839,literary,2
840,literary,61
841,literary,27
842,literary,30
843,literary,94
844,literary,92
845,literary,46
846,literary,7
847,literary,4
848,literary,4
849,literary,59
850,literary,35
851,literary,45
852,literary,32
853,literary,91
854,literary,58
855,literary,42
856,literary,50
857,literary,63
858,literary,7
859,literary,34
860,literary,57
861,literary,66
862,literary,31
863,literary,11
864,literary,25
865,literary,32
866,literary,16
867,literary,13
868,literary,62
869,literary,12
870,literary,73
871,literary,16
872,literary,1
873,literary,41
874,literary,41
875,literary,39
876,literary,54
877,literary,56
878,literary,38
879,literary,51
880,literary,24
881,literary,25
882,literary,39
883,literary,56
884,literary,3
885,literary,7
886,literary,51
887,literary,53
888,literary,13
889,literary,4
890,literary,67
891,literary,30
892,literary,19
893,literary,28
894,literary,49
895,literary,20
896,literary,14
897,literary,44
898,literary,82
899,literary,30
900,literary,14
901,literary,18
902,literary,29
903,literary,47
904,literary,44
905,literary,22
906,literary,28
907,literary,15
908,literary,65
909,literary,26
910,literary,5
911,literary,6
912,literary,6
913,literary,1
914,literary,61
915,literary,17
916,literary,15
917,literary,26
918,literary,16
919,literary,18
920,literary,9
921,literary,9
922,literary,30
923,literary,44
924,literary,64
925,literary,19
926,literary,24
927,literary,15
928,literary,25
929,literary,29
930,literary,33
931,literary,17
932,literary,11
933,literary,69
934,literary,19
935,literary,22
936,literary,27
937,literary,18
938,literary,14
939,literary,22
940,literary,2
941,literary,1
942,literary,99
943,literary,69
944,literary,12
945,literary,3
946,literary,8
947,literary,22
948,literary,3
949,literary,7
950,literary,50
951,literary,34
952,literary,18
953,literary,31
954,literary,33
955,literary,8
956,literary,22
957,literary,14
958,literary,61
959,literary,51
960,literary,51
961,literary,18
962,literary,47
963,literary,35
964,literary,35
965,literary,10
966,literary,20
967,literary,44
968,literary,91
969,literary,69
970,literary,24
971,literary,38
972,literary,52
973,literary,79
974,literary,14
975,literary,21
976,literary,39
977,literary,20
978,literary,76
979,literary,28
980,literary,18
981,literary,51
982,literary,17
983,literary,30
984,literary,15
985,literary,18
986,literary,27
987,literary,10
988,literary,6
989,literary,22
990,literary,45
991,literary,80
992,literary,40
993,literary,72
994,literary,8
995,literary,72
996,literary,22
997,literary,11
998,literary,25
